store_nbr,family,city,state,type,cluster,forecast_7_day,average_daily_demand,safety_stock,reorder_point,recommended_stock,inventory_priority
1,"LIQUOR,WINE,BEER",Quito,Pichincha,D,13,622.05,88.86,124.41,302.14,746.46,MEDIUM PRIORITY
1,MAGAZINES,Quito,Pichincha,D,13,39.17,5.6,7.83,19.03,47.01,LOW PRIORITY
1,MEATS,Quito,Pichincha,D,13,2061.33,294.48,412.27,1001.22,2473.6,HIGH PRIORITY
1,PERSONAL CARE,Quito,Pichincha,D,13,978.23,139.75,195.65,475.14,1173.88,MEDIUM PRIORITY
1,PET SUPPLIES,Quito,Pichincha,D,13,43.08,6.15,8.62,20.92,51.69,LOW PRIORITY
1,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,13,71.54,10.22,14.31,34.75,85.84,LOW PRIORITY
1,POULTRY,Quito,Pichincha,D,13,1920.06,274.29,384.01,932.6,2304.07,HIGH PRIORITY
1,PREPARED FOODS,Quito,Pichincha,D,13,288.88,41.27,57.78,140.31,346.65,MEDIUM PRIORITY
1,PRODUCE,Quito,Pichincha,D,13,15490.75,2212.96,3098.15,7524.08,18588.9,HIGH PRIORITY
1,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,13,17.42,2.49,3.48,8.46,20.9,LOW PRIORITY
1,SEAFOOD,Quito,Pichincha,D,13,143.27,20.47,28.65,69.59,171.92,MEDIUM PRIORITY
2,AUTOMOTIVE,Quito,Pichincha,D,13,48.41,6.92,9.68,23.51,58.09,LOW PRIORITY
2,BABY CARE,Quito,Pichincha,D,13,17.41,2.49,3.48,8.46,20.9,LOW PRIORITY
2,BEAUTY,Quito,Pichincha,D,13,53.49,7.64,10.7,25.98,64.18,LOW PRIORITY
2,BEVERAGES,Quito,Pichincha,D,13,18822.77,2688.97,3764.55,9142.49,22587.32,HIGH PRIORITY
2,BOOKS,Quito,Pichincha,D,13,17.41,2.49,3.48,8.46,20.9,LOW PRIORITY
2,BREAD/BAKERY,Quito,Pichincha,D,13,4314.01,616.29,862.8,2095.38,5176.81,HIGH PRIORITY
2,CELEBRATION,Quito,Pichincha,D,13,67.99,9.71,13.6,33.02,81.59,LOW PRIORITY
2,CLEANING,Quito,Pichincha,D,13,5624.84,803.55,1124.97,2732.07,6749.81,HIGH PRIORITY
2,DAIRY,Quito,Pichincha,D,13,5534.43,790.63,1106.89,2688.15,6641.32,HIGH PRIORITY
2,DELI,Quito,Pichincha,D,13,1469.38,209.91,293.88,713.7,1763.26,MEDIUM PRIORITY
2,EGGS,Quito,Pichincha,D,13,1128.61,161.23,225.72,548.18,1354.33,MEDIUM PRIORITY
2,FROZEN FOODS,Quito,Pichincha,D,13,749.46,107.07,149.89,364.02,899.35,MEDIUM PRIORITY
2,GROCERY I,Quito,Pichincha,D,13,24593.5,3513.36,4918.7,11945.41,29512.2,HIGH PRIORITY
2,GROCERY II,Quito,Pichincha,D,13,215.52,30.79,43.1,104.68,258.62,MEDIUM PRIORITY
2,HARDWARE,Quito,Pichincha,D,13,21.51,3.07,4.3,10.45,25.81,LOW PRIORITY
2,HOME AND KITCHEN I,Quito,Pichincha,D,13,157.54,22.51,31.51,76.52,189.05,MEDIUM PRIORITY
2,HOME AND KITCHEN II,Quito,Pichincha,D,13,253.39,36.2,50.68,123.07,304.07,MEDIUM PRIORITY
2,HOME APPLIANCES,Quito,Pichincha,D,13,17.24,2.46,3.45,8.37,20.69,LOW PRIORITY
2,HOME CARE,Quito,Pichincha,D,13,1586.45,226.64,317.29,770.56,1903.74,MEDIUM PRIORITY
2,LADIESWEAR,Quito,Pichincha,D,13,143.83,20.55,28.77,69.86,172.6,MEDIUM PRIORITY
2,LAWN AND GARDEN,Quito,Pichincha,D,13,134.74,19.25,26.95,65.44,161.68,MEDIUM PRIORITY
2,LINGERIE,Quito,Pichincha,D,13,43.76,6.25,8.75,21.26,52.52,LOW PRIORITY
2,"LIQUOR,WINE,BEER",Quito,Pichincha,D,13,699.18,99.88,139.84,339.6,839.02,MEDIUM PRIORITY
2,MAGAZINES,Quito,Pichincha,D,13,79.09,11.3,15.82,38.42,94.91,LOW PRIORITY
2,MEATS,Quito,Pichincha,D,13,3333.51,476.22,666.7,1619.13,4000.21,HIGH PRIORITY
2,PERSONAL CARE,Quito,Pichincha,D,13,1727.28,246.75,345.46,838.97,2072.74,MEDIUM PRIORITY
2,PET SUPPLIES,Quito,Pichincha,D,13,51.76,7.39,10.35,25.14,62.11,LOW PRIORITY
2,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,13,48.77,6.97,9.75,23.69,58.52,LOW PRIORITY
2,POULTRY,Quito,Pichincha,D,13,3142.74,448.96,628.55,1526.47,3771.28,HIGH PRIORITY
2,PREPARED FOODS,Quito,Pichincha,D,13,791.99,113.14,158.4,384.68,950.39,MEDIUM PRIORITY
2,PRODUCE,Quito,Pichincha,D,13,16110.91,2301.56,3222.18,7825.3,19333.09,HIGH PRIORITY
2,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,13,17.11,2.44,3.42,8.31,20.54,LOW PRIORITY
2,SEAFOOD,Quito,Pichincha,D,13,230.12,32.87,46.02,111.77,276.14,MEDIUM PRIORITY
3,AUTOMOTIVE,Quito,Pichincha,D,8,66.16,9.45,13.23,32.13,79.39,LOW PRIORITY
3,BABY CARE,Quito,Pichincha,D,8,18.33,2.62,3.67,8.9,21.99,LOW PRIORITY
3,BEAUTY,Quito,Pichincha,D,8,130.79,18.68,26.16,63.53,156.95,MEDIUM PRIORITY
3,BEVERAGES,Quito,Pichincha,D,8,62181.01,8883.0,12436.2,30202.2,74617.21,HIGH PRIORITY
3,BOOKS,Quito,Pichincha,D,8,18.33,2.62,3.67,8.9,21.99,LOW PRIORITY
3,BREAD/BAKERY,Quito,Pichincha,D,8,8303.98,1186.28,1660.8,4033.36,9964.78,HIGH PRIORITY
3,CELEBRATION,Quito,Pichincha,D,8,242.36,34.62,48.47,117.72,290.83,MEDIUM PRIORITY
3,CLEANING,Quito,Pichincha,D,8,13120.91,1874.42,2624.18,6373.01,15745.09,HIGH PRIORITY
3,DAIRY,Quito,Pichincha,D,8,14557.14,2079.59,2911.43,7070.61,17468.57,HIGH PRIORITY
3,DELI,Quito,Pichincha,D,8,2450.39,350.06,490.08,1190.19,2940.47,HIGH PRIORITY
3,EGGS,Quito,Pichincha,D,8,3312.31,473.19,662.46,1608.84,3974.77,HIGH PRIORITY
3,FROZEN FOODS,Quito,Pichincha,D,8,2375.59,339.37,475.12,1153.86,2850.71,HIGH PRIORITY
3,GROCERY I,Quito,Pichincha,D,8,58163.62,8309.09,11632.72,28250.9,69796.35,HIGH PRIORITY
3,GROCERY II,Quito,Pichincha,D,8,499.73,71.39,99.95,242.72,599.67,MEDIUM PRIORITY
3,HARDWARE,Quito,Pichincha,D,8,26.66,3.81,5.33,12.95,32.0,LOW PRIORITY
3,HOME AND KITCHEN I,Quito,Pichincha,D,8,465.29,66.47,93.06,226.0,558.34,MEDIUM PRIORITY
3,HOME AND KITCHEN II,Quito,Pichincha,D,8,309.85,44.26,61.97,150.5,371.82,MEDIUM PRIORITY
3,HOME APPLIANCES,Quito,Pichincha,D,8,18.14,2.59,3.63,8.81,21.77,LOW PRIORITY
3,HOME CARE,Quito,Pichincha,D,8,3425.08,489.3,685.02,1663.61,4110.1,HIGH PRIORITY
3,LADIESWEAR,Quito,Pichincha,D,8,259.75,37.11,51.95,126.16,311.7,MEDIUM PRIORITY
3,LAWN AND GARDEN,Quito,Pichincha,D,8,306.38,43.77,61.28,148.82,367.66,MEDIUM PRIORITY
3,LINGERIE,Quito,Pichincha,D,8,170.02,24.29,34.0,82.58,204.02,MEDIUM PRIORITY
3,"LIQUOR,WINE,BEER",Quito,Pichincha,D,8,1616.75,230.96,323.35,785.28,1940.1,MEDIUM PRIORITY
3,MAGAZINES,Quito,Pichincha,D,8,212.54,30.36,42.51,103.23,255.04,MEDIUM PRIORITY
3,MEATS,Quito,Pichincha,D,8,5221.22,745.89,1044.24,2536.02,6265.46,HIGH PRIORITY
3,PERSONAL CARE,Quito,Pichincha,D,8,3664.03,523.43,732.81,1779.67,4396.83,HIGH PRIORITY
3,PET SUPPLIES,Quito,Pichincha,D,8,133.72,19.1,26.74,64.95,160.46,MEDIUM PRIORITY
3,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,8,173.81,24.83,34.76,84.42,208.57,MEDIUM PRIORITY
3,POULTRY,Quito,Pichincha,D,8,8146.08,1163.73,1629.22,3956.67,9775.3,HIGH PRIORITY
3,PREPARED FOODS,Quito,Pichincha,D,8,1678.14,239.73,335.63,815.1,2013.77,MEDIUM PRIORITY
3,PRODUCE,Quito,Pichincha,D,8,56300.79,8042.97,11260.16,27346.1,67560.94,HIGH PRIORITY
3,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,8,20.3,2.9,4.06,9.86,24.36,LOW PRIORITY
3,SEAFOOD,Quito,Pichincha,D,8,529.49,75.64,105.9,257.18,635.39,MEDIUM PRIORITY
4,AUTOMOTIVE,Quito,Pichincha,D,9,32.24,4.61,6.45,15.66,38.68,LOW PRIORITY
4,BABY CARE,Quito,Pichincha,D,9,7.26,1.04,1.45,3.53,8.71,LOW PRIORITY
4,BEAUTY,Quito,Pichincha,D,9,29.85,4.26,5.97,14.5,35.82,LOW PRIORITY
4,BEVERAGES,Quito,Pichincha,D,9,16517.42,2359.63,3303.48,8022.74,19820.9,HIGH PRIORITY
4,BOOKS,Quito,Pichincha,D,9,7.26,1.04,1.45,3.53,8.71,LOW PRIORITY
4,BREAD/BAKERY,Quito,Pichincha,D,9,2352.25,336.04,470.45,1142.52,2822.71,HIGH PRIORITY
4,CELEBRATION,Quito,Pichincha,D,9,44.22,6.32,8.84,21.48,53.06,LOW PRIORITY
4,CLEANING,Quito,Pichincha,D,9,5262.39,751.77,1052.48,2556.02,6314.87,HIGH PRIORITY
4,DAIRY,Quito,Pichincha,D,9,4954.97,707.85,990.99,2406.7,5945.96,HIGH PRIORITY
4,DELI,Quito,Pichincha,D,9,1267.71,181.1,253.54,615.74,1521.25,MEDIUM PRIORITY
4,EGGS,Quito,Pichincha,D,9,912.47,130.35,182.49,443.2,1094.96,MEDIUM PRIORITY
4,FROZEN FOODS,Quito,Pichincha,D,9,632.47,90.35,126.49,307.2,758.96,MEDIUM PRIORITY
4,GROCERY I,Quito,Pichincha,D,9,21599.1,3085.59,4319.82,10490.99,25918.92,HIGH PRIORITY
4,GROCERY II,Quito,Pichincha,D,9,168.05,24.01,33.61,81.62,201.66,MEDIUM PRIORITY
4,HARDWARE,Quito,Pichincha,D,9,11.25,1.61,2.25,5.46,13.49,LOW PRIORITY
4,HOME AND KITCHEN I,Quito,Pichincha,D,9,133.59,19.08,26.72,64.89,160.31,MEDIUM PRIORITY
4,HOME AND KITCHEN II,Quito,Pichincha,D,9,53.61,7.66,10.72,26.04,64.33,LOW PRIORITY
4,HOME APPLIANCES,Quito,Pichincha,D,9,7.4,1.06,1.48,3.6,8.88,LOW PRIORITY
4,HOME CARE,Quito,Pichincha,D,9,1322.35,188.91,264.47,642.28,1586.82,MEDIUM PRIORITY
4,LADIESWEAR,Quito,Pichincha,D,9,135.48,19.35,27.1,65.81,162.58,MEDIUM PRIORITY
4,LAWN AND GARDEN,Quito,Pichincha,D,9,141.37,20.2,28.27,68.67,169.65,MEDIUM PRIORITY
4,LINGERIE,Quito,Pichincha,D,9,19.88,2.84,3.98,9.66,23.86,LOW PRIORITY
4,"LIQUOR,WINE,BEER",Quito,Pichincha,D,9,690.8,98.69,138.16,335.53,828.96,MEDIUM PRIORITY
4,MAGAZINES,Quito,Pichincha,D,9,41.3,5.9,8.26,20.06,49.56,LOW PRIORITY
4,MEATS,Quito,Pichincha,D,9,2611.26,373.04,522.25,1268.33,3133.51,HIGH PRIORITY
4,PERSONAL CARE,Quito,Pichincha,D,9,1620.1,231.44,324.02,786.9,1944.12,MEDIUM PRIORITY
4,PET SUPPLIES,Quito,Pichincha,D,9,35.51,5.07,7.1,17.25,42.61,LOW PRIORITY
4,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,9,41.36,5.91,8.27,20.09,49.64,LOW PRIORITY
4,POULTRY,Quito,Pichincha,D,9,2664.86,380.69,532.97,1294.36,3197.83,HIGH PRIORITY
4,PREPARED FOODS,Quito,Pichincha,D,9,376.51,53.79,75.3,182.88,451.82,MEDIUM PRIORITY
4,PRODUCE,Quito,Pichincha,D,9,15625.77,2232.25,3125.15,7589.66,18750.93,HIGH PRIORITY
4,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,9,7.29,1.04,1.46,3.54,8.75,LOW PRIORITY
4,SEAFOOD,Quito,Pichincha,D,9,159.68,22.81,31.94,77.56,191.62,MEDIUM PRIORITY
5,AUTOMOTIVE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,43.68,6.24,8.74,21.21,52.41,LOW PRIORITY
5,BABY CARE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,7.45,1.06,1.49,3.62,8.95,LOW PRIORITY
5,BEAUTY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,34.34,4.91,6.87,16.68,41.21,LOW PRIORITY
5,BEVERAGES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,11968.78,1709.83,2393.76,5813.41,14362.54,HIGH PRIORITY
5,BOOKS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,6.83,0.98,1.37,3.32,8.19,LOW PRIORITY
5,BREAD/BAKERY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,2309.1,329.87,461.82,1121.56,2770.92,HIGH PRIORITY
5,CELEBRATION,Santo Domingo,Santo Domingo de los Tsachilas,D,4,168.65,24.09,33.73,81.92,202.38,MEDIUM PRIORITY
5,CLEANING,Santo Domingo,Santo Domingo de los Tsachilas,D,4,5535.93,790.85,1107.19,2688.88,6643.12,HIGH PRIORITY
5,DAIRY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,3623.63,517.66,724.73,1760.05,4348.35,HIGH PRIORITY
5,DELI,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1489.09,212.73,297.82,723.27,1786.91,MEDIUM PRIORITY
5,EGGS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,562.94,80.42,112.59,273.43,675.53,MEDIUM PRIORITY
5,FROZEN FOODS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,674.69,96.38,134.94,327.71,809.63,MEDIUM PRIORITY
5,GROCERY I,Santo Domingo,Santo Domingo de los Tsachilas,D,4,19478.32,2782.62,3895.66,9460.9,23373.99,HIGH PRIORITY
5,GROCERY II,Santo Domingo,Santo Domingo de los Tsachilas,D,4,201.28,28.75,40.26,97.76,241.54,MEDIUM PRIORITY
5,HARDWARE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,10.23,1.46,2.05,4.97,12.28,LOW PRIORITY
5,HOME AND KITCHEN I,Santo Domingo,Santo Domingo de los Tsachilas,D,4,198.59,28.37,39.72,96.46,238.31,MEDIUM PRIORITY
5,HOME AND KITCHEN II,Santo Domingo,Santo Domingo de los Tsachilas,D,4,131.8,18.83,26.36,64.02,158.16,MEDIUM PRIORITY
5,HOME APPLIANCES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,6.67,0.95,1.33,3.24,8.0,LOW PRIORITY
5,HOME CARE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1277.95,182.56,255.59,620.72,1533.54,MEDIUM PRIORITY
5,LADIESWEAR,Santo Domingo,Santo Domingo de los Tsachilas,D,4,72.87,10.41,14.57,35.39,87.44,LOW PRIORITY
5,LAWN AND GARDEN,Santo Domingo,Santo Domingo de los Tsachilas,D,4,41.35,5.91,8.27,20.08,49.61,LOW PRIORITY
5,LINGERIE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,59.76,8.54,11.95,29.02,71.71,LOW PRIORITY
5,"LIQUOR,WINE,BEER",Santo Domingo,Santo Domingo de los Tsachilas,D,4,450.43,64.35,90.09,218.78,540.52,MEDIUM PRIORITY
5,MAGAZINES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,67.5,9.64,13.5,32.79,81.0,LOW PRIORITY
5,MEATS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1736.12,248.02,347.22,843.26,2083.34,MEDIUM PRIORITY
5,PERSONAL CARE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1507.92,215.42,301.58,732.42,1809.5,MEDIUM PRIORITY
5,PET SUPPLIES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,19.68,2.81,3.94,9.56,23.62,LOW PRIORITY
5,PLAYERS AND ELECTRONICS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,39.06,5.58,7.81,18.97,46.87,LOW PRIORITY
5,POULTRY,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1623.12,231.87,324.62,788.37,1947.74,MEDIUM PRIORITY
5,PREPARED FOODS,Santo Domingo,Santo Domingo de los Tsachilas,D,4,382.78,54.68,76.56,185.92,459.34,MEDIUM PRIORITY
5,PRODUCE,Santo Domingo,Santo Domingo de los Tsachilas,D,4,10513.23,1501.89,2102.65,5106.43,12615.88,HIGH PRIORITY
5,SCHOOL AND OFFICE SUPPLIES,Santo Domingo,Santo Domingo de los Tsachilas,D,4,8.11,1.16,1.62,3.94,9.73,LOW PRIORITY
5,SEAFOOD,Santo Domingo,Santo Domingo de los Tsachilas,D,4,48.56,6.94,9.71,23.58,58.27,LOW PRIORITY
6,AUTOMOTIVE,Quito,Pichincha,D,13,40.26,5.75,8.05,19.56,48.31,LOW PRIORITY
6,BABY CARE,Quito,Pichincha,D,13,7.26,1.04,1.45,3.53,8.71,LOW PRIORITY
6,BEAUTY,Quito,Pichincha,D,13,34.3,4.9,6.86,16.66,41.16,LOW PRIORITY
6,BEVERAGES,Quito,Pichincha,D,13,22020.98,3145.85,4404.2,10695.9,26425.18,HIGH PRIORITY
6,BOOKS,Quito,Pichincha,D,13,7.26,1.04,1.45,3.53,8.71,LOW PRIORITY
6,BREAD/BAKERY,Quito,Pichincha,D,13,3671.06,524.44,734.21,1783.09,4405.27,HIGH PRIORITY
6,CELEBRATION,Quito,Pichincha,D,13,53.1,7.59,10.62,25.79,63.72,LOW PRIORITY
6,CLEANING,Quito,Pichincha,D,13,7949.24,1135.61,1589.85,3861.06,9539.09,HIGH PRIORITY
6,DAIRY,Quito,Pichincha,D,13,6599.81,942.83,1319.96,3205.62,7919.78,HIGH PRIORITY
6,DELI,Quito,Pichincha,D,13,2283.7,326.24,456.74,1109.23,2740.45,HIGH PRIORITY
6,EGGS,Quito,Pichincha,D,13,1193.33,170.48,238.67,579.62,1431.99,MEDIUM PRIORITY
6,FROZEN FOODS,Quito,Pichincha,D,13,991.79,141.68,198.36,481.73,1190.15,MEDIUM PRIORITY
6,GROCERY I,Quito,Pichincha,D,13,31670.06,4524.29,6334.01,15382.6,38004.07,HIGH PRIORITY
6,GROCERY II,Quito,Pichincha,D,13,251.47,35.92,50.29,122.14,301.76,MEDIUM PRIORITY
6,HARDWARE,Quito,Pichincha,D,13,9.48,1.35,1.9,4.61,11.38,LOW PRIORITY
6,HOME AND KITCHEN I,Quito,Pichincha,D,13,165.73,23.68,33.15,80.5,198.87,MEDIUM PRIORITY
6,HOME AND KITCHEN II,Quito,Pichincha,D,13,281.77,40.25,56.35,136.86,338.12,MEDIUM PRIORITY
6,HOME APPLIANCES,Quito,Pichincha,D,13,7.04,1.01,1.41,3.42,8.45,LOW PRIORITY
6,HOME CARE,Quito,Pichincha,D,13,2091.2,298.74,418.24,1015.73,2509.44,HIGH PRIORITY
6,LADIESWEAR,Quito,Pichincha,D,13,143.13,20.45,28.63,69.52,171.75,MEDIUM PRIORITY
6,LAWN AND GARDEN,Quito,Pichincha,D,13,126.03,18.0,25.21,61.21,151.23,MEDIUM PRIORITY
6,LINGERIE,Quito,Pichincha,D,13,53.19,7.6,10.64,25.84,63.83,LOW PRIORITY
6,"LIQUOR,WINE,BEER",Quito,Pichincha,D,13,709.38,101.34,141.88,344.56,851.26,MEDIUM PRIORITY
6,MAGAZINES,Quito,Pichincha,D,13,33.97,4.85,6.79,16.5,40.77,LOW PRIORITY
6,MEATS,Quito,Pichincha,D,13,3230.27,461.47,646.05,1568.99,3876.32,HIGH PRIORITY
6,PERSONAL CARE,Quito,Pichincha,D,13,2291.61,327.37,458.32,1113.07,2749.93,HIGH PRIORITY
6,PET SUPPLIES,Quito,Pichincha,D,13,49.71,7.1,9.94,24.14,59.65,LOW PRIORITY
6,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,13,125.35,17.91,25.07,60.89,150.42,MEDIUM PRIORITY
6,POULTRY,Quito,Pichincha,D,13,3610.04,515.72,722.01,1753.45,4332.05,HIGH PRIORITY
6,PREPARED FOODS,Quito,Pichincha,D,13,728.44,104.06,145.69,353.81,874.12,MEDIUM PRIORITY
6,PRODUCE,Quito,Pichincha,D,13,17824.18,2546.31,3564.84,8657.46,21389.02,HIGH PRIORITY
6,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,13,6.67,0.95,1.33,3.24,8.0,LOW PRIORITY
6,SEAFOOD,Quito,Pichincha,D,13,252.5,36.07,50.5,122.64,303.0,MEDIUM PRIORITY
7,AUTOMOTIVE,Quito,Pichincha,D,8,34.15,4.88,6.83,16.59,40.98,LOW PRIORITY
7,BABY CARE,Quito,Pichincha,D,8,9.97,1.42,1.99,4.84,11.97,LOW PRIORITY
7,BEAUTY,Quito,Pichincha,D,8,41.84,5.98,8.37,20.32,50.2,LOW PRIORITY
7,BEVERAGES,Quito,Pichincha,D,8,24956.26,3565.18,4991.25,12121.61,29947.51,HIGH PRIORITY
7,BOOKS,Quito,Pichincha,D,8,9.97,1.42,1.99,4.84,11.97,LOW PRIORITY
7,BREAD/BAKERY,Quito,Pichincha,D,8,4267.48,609.64,853.5,2072.77,5120.97,HIGH PRIORITY
7,CELEBRATION,Quito,Pichincha,D,8,91.52,13.07,18.3,44.45,109.82,MEDIUM PRIORITY
7,CLEANING,Quito,Pichincha,D,8,6695.09,956.44,1339.02,3251.9,8034.11,HIGH PRIORITY
7,DAIRY,Quito,Pichincha,D,8,8738.1,1248.3,1747.62,4244.22,10485.71,HIGH PRIORITY
7,DELI,Quito,Pichincha,D,8,1166.41,166.63,233.28,566.54,1399.69,MEDIUM PRIORITY
7,EGGS,Quito,Pichincha,D,8,1859.97,265.71,371.99,903.41,2231.97,HIGH PRIORITY
7,FROZEN FOODS,Quito,Pichincha,D,8,1395.66,199.38,279.13,677.89,1674.79,MEDIUM PRIORITY
7,GROCERY I,Quito,Pichincha,D,8,24653.22,3521.89,4930.64,11974.42,29583.86,HIGH PRIORITY
7,GROCERY II,Quito,Pichincha,D,8,246.57,35.22,49.31,119.76,295.88,MEDIUM PRIORITY
7,HARDWARE,Quito,Pichincha,D,8,16.22,2.32,3.24,7.88,19.46,LOW PRIORITY
7,HOME AND KITCHEN I,Quito,Pichincha,D,8,251.04,35.86,50.21,121.93,301.25,MEDIUM PRIORITY
7,HOME AND KITCHEN II,Quito,Pichincha,D,8,335.2,47.89,67.04,162.81,402.24,MEDIUM PRIORITY
7,HOME APPLIANCES,Quito,Pichincha,D,8,11.6,1.66,2.32,5.63,13.91,LOW PRIORITY
7,HOME CARE,Quito,Pichincha,D,8,1572.16,224.59,314.43,763.62,1886.59,MEDIUM PRIORITY
7,LADIESWEAR,Quito,Pichincha,D,8,105.3,15.04,21.06,51.14,126.35,MEDIUM PRIORITY
7,LAWN AND GARDEN,Quito,Pichincha,D,8,244.68,34.95,48.94,118.84,293.62,MEDIUM PRIORITY
7,LINGERIE,Quito,Pichincha,D,8,43.97,6.28,8.79,21.36,52.76,LOW PRIORITY
7,"LIQUOR,WINE,BEER",Quito,Pichincha,D,8,1106.62,158.09,221.32,537.5,1327.94,MEDIUM PRIORITY
7,MAGAZINES,Quito,Pichincha,D,8,124.4,17.77,24.88,60.42,149.28,MEDIUM PRIORITY
7,MEATS,Quito,Pichincha,D,8,3176.42,453.77,635.28,1542.83,3811.71,HIGH PRIORITY
7,PERSONAL CARE,Quito,Pichincha,D,8,1551.64,221.66,310.33,753.66,1861.97,MEDIUM PRIORITY
7,PET SUPPLIES,Quito,Pichincha,D,8,35.68,5.1,7.14,17.33,42.82,LOW PRIORITY
7,PLAYERS AND ELECTRONICS,Quito,Pichincha,D,8,93.43,13.35,18.69,45.38,112.11,MEDIUM PRIORITY
7,POULTRY,Quito,Pichincha,D,8,4249.61,607.09,849.92,2064.1,5099.54,HIGH PRIORITY
7,PREPARED FOODS,Quito,Pichincha,D,8,860.22,122.89,172.04,417.82,1032.26,MEDIUM PRIORITY
7,PRODUCE,Quito,Pichincha,D,8,32565.58,4652.23,6513.12,15817.57,39078.7,HIGH PRIORITY
7,SCHOOL AND OFFICE SUPPLIES,Quito,Pichincha,D,8,12.04,1.72,2.41,5.85,14.45,LOW PRIORITY
7,SEAFOOD,Quito,Pichincha,D,8,254.75,36.39,50.95,123.74,305.7,MEDIUM PRIORITY
8,AUTOMOTIVE,Quito,Pichincha,D,8,30.77,4.4,6.15,14.95,36.93,LOW PRIORITY
